
mysql> select * from constituent_financials_csv;
+--------+----------------------------------------+----------------------------+-------+---------------+----------------+----------------+-----------+-------------+--------------+-------------+------------+------------+---------------------------------------------------------------------+
| symbol | name                                   | sector                     | price | price_earning | dividend_yeald | earning_sector | 5_weeklow | 52_weekhigh | market_cap   | ebitda      | price_sale | price_book | sec_filling                                                         |
| ABC    | AmerisourceBergen Corp                 | Health Care                |    92 |            16 |              2 |              2 |       106 |          72 |  20587704101 |   991884000 |          0 |         10 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC   |
| AME    | AMETEK Inc                             | Industrials                |    72 |            28 |              1 |              3 |        79 |          51 |  17139651923 |  1025763000 |          4 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME   |
| AMGN   | Amgen Inc                              | Health Care                |   173 |            14 |              3 |              3 |       201 |         152 | 128133000000 | 11945000000 |          6 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN  |
| APH    | Amphenol Corp                          | Information Technology     |    84 |            26 |              1 |              2 |        94 |          67 |  26955335395 |  1671700000 |          4 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH   |
| APC    | Anadarko Petroleum Corp                | Energy                     |    56 |           -21 |              2 |             -6 |        70 |          40 |  32129091747 |  3115000000 |          4 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC   |
| ADI    | Analog Devices, Inc.                   | Information Technology     |    83 |            18 |              2 |              2 |        98 |          75 |  31811578855 |  1663384000 |          8 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI   |
| ANDV   | Andeavor                               | Energy                     |    97 |            19 |              2 |              6 |       122 |          75 |  15696449735 |  2548000000 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV  |
| ANSS   | ANSYS                                  | Information Technology     |   149 |            43 |              0 |              3 |       165 |          95 |  13155919129 |   458515000 |         17 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS  |
| ANTM   | Anthem Inc.                            | Health Care                |   231 |            19 |              1 |             14 |       268 |         157 |  61221978627 |           0 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM  |
| AON    | Aon plc                                | Financials                 |   136 |            21 |              1 |              5 |       153 |         113 |  35123123422 |  1858000000 |          3 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON   |
| APA    | Apache Corporation                     | Energy                     |    38 |          -252 |              3 |             -4 |        58 |          38 |  15066280977 |  3265000000 |          4 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA   |
| AIV    | Apartment Investment & Management      | Real Estate                |    38 |            16 |              4 |              2 |        47 |          39 |   6156884142 |   874871000 |          6 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV   |
| AAPL   | Apple Inc.                             | Information Technology     |   155 |            17 |              2 |              9 |       180 |         131 | 809508000000 | 79386000000 |          3 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL  |
| AMAT   | Applied Materials Inc                  | Information Technology     |    46 |            14 |              1 |              3 |        61 |          35 |  51296481503 |  4336000000 |          5 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT  |
| APTV   | Aptiv Plc                              | Consumer Discretionary     |    89 |            70 |              1 |              5 |        97 |          83 |  24906530300 |  2370000000 |          2 |          8 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV  |
| ADM    | Archer-Daniels-Midland Co              | Consumer Staples           |    41 |            17 |              3 |              2 |        47 |          39 |  23594770663 |  2927000000 |          1 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM   |
| ARNC   | Arconic Inc                            | Industrials                |    24 |            20 |              1 |              0 |        31 |          22 |  12123300000 |  1517000000 |          1 |          0 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC  |
| AJG    | Arthur J. Gallagher & Co.              | Financials                 |    64 |            21 |              2 |              3 |        71 |          54 |  11968488290 |   888000000 |          2 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG   |
| AIZ    | Assurant Inc                           | Financials                 |    85 |            33 |              3 |              9 |       107 |          86 |   4653993594 |           0 |          1 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ   |
| T      | AT&T Inc                               | Telecommunication Services |    36 |            12 |              5 |              5 |        43 |          33 | 226713000000 | 49653000000 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T     |
| ADSK   | Autodesk Inc                           | Information Technology     |   105 |           -77 |              0 |             -3 |       131 |          82 |  24348294504 |  -378100000 |         17 |        224 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK  |
| ADP    | Automatic Data Processing              | Information Technology     |   108 |            29 |              2 |              4 |       125 |          96 |  50337702249 |  2767400000 |          4 |         13 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP   |
| AZO    | AutoZone Inc                           | Consumer Discretionary     |   719 |            16 |              0 |             44 |       798 |         491 |  19922021415 |  2347304000 |          2 |        136 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO   |
| AVB    | AvalonBay Communities, Inc.            | Real Estate                |   155 |            18 |              4 |              6 |       200 |         156 |  21856547430 |  1331579000 |         10 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB   |
| AVY    | Avery Dennison Corp                    | Materials                  |   111 |            22 |              2 |              3 |       124 |          78 |  10104814319 |   831200000 |          2 |          9 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY   |
| BHGE   | Baker Hughes, a GE Company             | Energy                     |    28 |           306 |              2 |              0 |        58 |          28 |  32995712852 |   285000000 |          2 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE  |
| BLL    | Ball Corp                              | Materials                  |    38 |            21 |              1 |              1 |        43 |          36 |  13767688518 |  1317000000 |          2 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL   |
| BAC    | Bank of America Corp                   | Financials                 |    30 |            16 |              2 |              2 |        33 |          22 | 321478000000 |           0 |          3 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC   |
| BAX    | Baxter International Inc.              | Health Care                |    63 |            25 |              1 |              1 |        73 |          48 |  35713732553 |  1832000000 |          3 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX   |
| BBT    | BB&T Corporation                       | Financials                 |    51 |            16 |              2 |              3 |        56 |          41 |  42087562920 |           0 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT   |
| BDX    | Becton Dickinson                       | Health Care                |   211 |            22 |              1 |              5 |       248 |         176 |  50910180308 |  1537000000 |          6 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX   |
| BRK.B  | Berkshire Hathaway                     | Financials                 |   191 |            30 |              0 |             10 |       218 |         161 | 261401000000 |           0 |          1 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B |
| BBY    | Best Buy Co. Inc.                      | Consumer Discretionary     |    69 |            19 |              2 |              4 |        79 |          42 |  20831186176 |  2555000000 |          1 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY   |
| BIIB   | Biogen Inc.                            | Health Care                |   312 |            14 |              0 |             12 |       371 |         244 |  69157726427 |  6511400000 |          6 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB  |
| BLK    | BlackRock                              | Financials                 |   509 |            22 |              2 |             30 |       595 |         368 |  85907759858 |  5684000000 |          7 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK   |
| HRB    | Block H&R                              | Financials                 |    25 |            12 |              4 |              2 |        32 |          20 |   5381433872 |   894754000 |          2 |        205 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB   |
| BA     | Boeing Company                         | Industrials                |   330 |            27 |              2 |             13 |       361 |         164 | 205617000000 | 12476000000 |          2 |        183 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA    |
| BWA    | BorgWarner                             | Consumer Discretionary     |    52 |            14 |              1 |              1 |        58 |          38 |  11596117445 |   867900000 |          2 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA   |
| BXP    | Boston Properties                      | Real Estate                |   112 |            18 |              3 |              3 |       140 |         112 |  17799878487 |  1546846000 |          7 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP   |
| BSX    | Boston Scientific                      | Health Care                |    25 |            20 |              0 |              0 |        30 |          23 |  36142506007 |  1726000000 |          4 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX   |
| BHF    | Brighthouse Financial Inc              | Financials                 |    55 |            23 |              0 |            -25 |        75 |          53 |   7066613254 |           0 |          1 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF   |
| BMY    | Bristol-Myers Squibb                   | Health Care                |    63 |            21 |              3 |              3 |        66 |          51 | 102507000000 |  5170000000 |          7 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY   |
| AVGO   | Broadcom                               | Information Technology     |   230 |            16 |              3 |              4 |       286 |         203 |  92791974933 |  7016000000 |          7 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO  |
| BF.B   | Brown-Forman Corp.                     | Consumer Staples           |    63 |            37 |              1 |              2 |        70 |          45 |   5498033502 |  1139000000 |          2 |         12 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B  |
| CHRW   | C. H. Robinson Worldwide               | Industrials                |    90 |            26 |              2 |              4 |       100 |          63 |  12932483889 |   868096000 |          1 |          9 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW  |
| CA     | CA, Inc.                               | Information Technology     |    33 |            14 |              3 |              2 |        37 |          30 |  14175422936 |  1613000000 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA    |
| COG    | Cabot Oil & Gas                        | Energy                     |    23 |            61 |              1 |             -1 |        30 |          21 |  10808821635 |   404951000 |          9 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG   |
| CDNS   | Cadence Design Systems                 | Information Technology     |    37 |            34 |              0 |              1 |        46 |          29 |  10890625200 |   455607000 |          6 |         11 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS  |
| CPB    | Campbell Soup                          | Consumer Staples           |    45 |            15 |              3 |              3 |        64 |          44 |  13467193376 |  1683000000 |          2 |          8 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB   |
| COF    | Capital One Financial                  | Financials                 |    92 |            12 |              2 |              3 |       107 |          76 |  47637260000 |           0 |          2 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF   |
| CAH    | Cardinal Health Inc.                   | Health Care                |    67 |            12 |              3 |              4 |        85 |          55 |  20493281175 |  1913000000 |          0 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH   |
| KMX    | Carmax Inc                             | Consumer Discretionary     |    64 |            19 |              0 |              4 |        78 |          54 |  11827453706 |  1339628000 |          1 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX   |
| CCL    | Carnival Corp.                         | Consumer Discretionary     |    67 |            17 |              3 |              4 |        73 |          55 |  49180044050 |  4711000000 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL   |
| CAT    | Caterpillar Inc.                       | Industrials                |   146 |            21 |              2 |              1 |       173 |          90 |  91822049046 |  8136000000 |          2 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT   |
| CBOE   | CBOE Holdings                          | Financials                 |   111 |            35 |              1 |              2 |       139 |          77 |  12998295607 |   488406000 |          8 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE  |
| CBG    | CBRE Group                             | Real Estate                |    42 |            16 |              0 |              2 |        47 |          30 |  14440591731 |  1652961000 |          1 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG   |
| CBS    | CBS Corp.                              | Consumer Discretionary     |    52 |            12 |              1 |              3 |        70 |          53 |  20431395736 |  2841000000 |          2 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS   |
| CELG   | Celgene Corp.                          | Health Care                |    91 |            13 |              0 |              4 |       147 |          93 |  74921079154 |  5233000000 |          6 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG  |
| CNC    | Centene Corporation                    | Health Care                |   100 |            19 |              0 |              3 |       112 |          65 |  18012494506 |  2063000000 |          1 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC   |
| CNP    | CenterPoint Energy                     | Utilities                  |    26 |            20 |              4 |              1 |        30 |          26 |  11362043297 |  2337000000 |          2 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP   |
| CTL    | CenturyLink Inc                        | Telecommunication Services |    16 |             8 |             13 |              1 |        28 |          13 |  18237196861 |  5577000000 |          1 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL   |
| CERN   | Cerner                                 | Health Care                |    61 |            27 |              0 |              2 |        74 |          51 |  21101697598 |  1523440000 |          6 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN  |
| CF     | CF Industries Holdings Inc             | Materials                  |    37 |           -59 |              3 |             -1 |        44 |          25 |   9209106695 |   711000000 |          3 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF    |
| SCHW   | Charles Schwab Corporation             | Financials                 |    49 |            30 |              1 |              2 |        56 |          37 |  69750188843 |           0 |          8 |          5 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW  |
| CHTR   | Charter Communications                 | Consumer Discretionary     |   349 |           163 |              0 |             34 |       409 |         308 |  86708878113 | 14694000000 |          2 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR  |
| CHK    | Chesapeake Energy                      | Energy                     |     3 |             5 |              0 |             -6 |         7 |           3 |   2626102121 |  1470000000 |          0 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK   |
| CVX    | Chevron Corp.                          | Energy                     |   112 |            28 |              4 |              5 |       134 |         103 | 218979000000 | 28877000000 |          2 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX   |
| CMG    | Chipotle Mexican Grill                 | Consumer Discretionary     |   266 |            46 |              0 |              1 |       499 |         263 |   7685283970 |   401293000 |          3 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG   |
| CB     | Chubb Limited                          | Financials                 |   140 |            18 |              2 |              8 |       158 |         130 |  68424670566 |           0 |          2 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB    |
| CHD    | Church & Dwight                        | Consumer Staples           |    47 |            24 |              2 |              3 |        54 |          43 |  11838963451 |   868000000 |          3 |          6 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD   |
| CI     | CIGNA Corp.                            | Health Care                |   189 |            18 |              0 |              7 |       227 |         142 |  47680910480 |           0 |          2 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI    |
| XEC    | Cimarex Energy                         | Energy                     |   100 |            26 |              0 |             -5 |       136 |          89 |  10089082025 |  1061056000 |          8 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC   |
| CINF   | Cincinnati Financial                   | Financials                 |    70 |            27 |              3 |              4 |        82 |          68 |  11916533018 |           0 |          3 |          2 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF  |
| CTAS   | Cintas Corporation                     | Industrials                |   149 |            33 |              1 |              4 |       170 |         114 |  16676145923 |  1097295000 |          3 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS  |
| CSCO   | Cisco Systems                          | Information Technology     |    39 |            18 |              3 |              2 |        43 |          30 | 199426000000 | 15447000000 |          5 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO  |
| C      | Citigroup Inc.                         | Financials                 |    72 |            13 |              2 |             -3 |        81 |          56 | 192709000000 |           0 |          2 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C     |
| CFG    | Citizens Financial Group               | Financials                 |    42 |            16 |              2 |              3 |        48 |          32 |  22008050974 |           0 |          3 |          1 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG   |
| CTXS   | Citrix Systems                         | Information Technology     |    85 |            20 |              0 |              0 |        95 |          73 |  13199167493 |   810268000 |          5 |          7 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS  |
| CME    | CME Group Inc.                         | Financials                 |   153 |            32 |              4 |             12 |       163 |         115 |  54423298745 |  2851800000 |         15 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME   |
| CMS    | CMS Energy                             | Utilities                  |    42 |            21 |              3 |              2 |        51 |          41 |  11873960824 |  2099000000 |          2 |          3 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS   |
| KO     | Coca-Cola Company (The)                | Consumer Staples           |    43 |            23 |              3 |              1 |        49 |          40 | 189855000000 |  8589000000 |          7 |          9 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO    |
| CTSH   | Cognizant Technology Solutions         | Information Technology     |    75 |            22 |              1 |              3 |        79 |          55 |  45119684067 |  2946000000 |          4 |          4 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH  |
| CL     | Colgate-Palmolive                      | Consumer Staples           |    69 |            24 |              2 |              2 |        78 |          66 |  61616643498 |  4064000000 |          4 |        236 | http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL    |
